crop_Z,crop_R,score,year,original_path_Z,original_path_R
2024__09.02.2024__5Z__100MEDIA__DSCF0339_crop0.jpg,2024__09.02.2024__5R__100MEDIA__DSCF0207_crop0.jpg,21,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0339.JPG,/srv/shared_leopard_toad/2024/09.02.2024/5R/100MEDIA/DSCF0207.JPG
2024__09.02.2024__5Z__100MEDIA__DSCF0339_crop0.jpg,2024__09.02.2024__5R__100MEDIA__DSCF0213_crop0.jpg,20,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0339.JPG,/srv/shared_leopard_toad/2024/09.02.2024/5R/100MEDIA/DSCF0213.JPG
2025__Documents__06.10-13.10.2025__4Z__106MEDIA__DSCF0090_crop0.jpg,2025__Documents__06.10-13.10.2025__5R__106MEDIA__DSCF0362_crop0.jpg,19,2025,/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/4Z/106MEDIA/DSCF0090.JPG,/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/5R/106MEDIA/DSCF0362.JPG
2024__09.02.2024__5Z__100MEDIA__DSCF0340_crop0.jpg,2024__09.02.2024__5R__100MEDIA__DSCF0207_crop0.jpg,18,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0340.JPG,/srv/shared_leopard_toad/2024/09.02.2024/5R/100MEDIA/DSCF0207.JPG
2025__Documents__22.09-29.09.2025__5Z__107MEDIA__DSCF0361_crop0.jpg,2025__Documents__06.10-13.10.2025__6R__104MEDIA__DSCF0446_crop0.jpg,18,2025,/srv/shared_leopard_toad/2025/Documents/22.09-29.09.2025/5Z/107MEDIA/DSCF0361.JPG,/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/6R/104MEDIA/DSCF0446.JPG
2025__Documents__06.10-13.10.2025__4Z__106MEDIA__DSCF0090_crop0.jpg,2025__Documents__15.09-22.09.2025__5R__100MEDIA__DSCF0088_crop0.jpg,18,2025,/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/4Z/106MEDIA/DSCF0090.JPG,/srv/shared_leopard_toad/2025/Documents/15.09-22.09.2025/5R/100MEDIA/DSCF0088.JPG
2024__09.02.2024__5Z__100MEDIA__DSCF0339_crop0.jpg,2024__02.10.2024__5R__102MEDIA__DSCF0660_crop0.jpg,16,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0339.JPG,/srv/shared_leopard_toad/2024/02.10.2024/5R/102MEDIA/DSCF0660.JPG
2024__18.11.2024__4Z__109MEDIA__DSCF0075_crop0.jpg,2024__02.10.2024__5R__102MEDIA__DSCF0660_crop0.jpg,16,2024,/srv/shared_leopard_toad/2024/18.11.2024/4Z/109MEDIA/DSCF0075.JPG,/srv/shared_leopard_toad/2024/02.10.2024/5R/102MEDIA/DSCF0660.JPG
2025__Documents__06.10-13.10.2025__4Z__106MEDIA__DSCF0081_crop0.jpg,2025__Documents__06.10-13.10.2025__4R__106MEDIA__DSCF0008_crop0.jpg,16,2025,/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/4Z/106MEDIA/DSCF0081.JPG,/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/4R/106MEDIA/DSCF0008.JPG
2025__Documents__22.09-29.09.2025__5Z__107MEDIA__DSCF0358_crop0.jpg,2025__Documents__06.10-13.10.2025__5R__106MEDIA__DSCF0365_crop0.jpg,15,2025,/srv/shared_leopard_toad/2025/Documents/22.09-29.09.2025/5Z/107MEDIA/DSCF0358.JPG,/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/5R/106MEDIA/DSCF0365.JPG
2025__Documents__12.19.08.2025__4Z__107MEDIA__DSCF0813_crop0.jpg,2025__Documents__06.10-13.10.2025__5R__106MEDIA__DSCF0365_crop0.jpg,15,2025,/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/4Z/107MEDIA/DSCF0813.JPG,/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/5R/106MEDIA/DSCF0365.JPG
