crop_Z,crop_R,score,year,original_path_Z,original_path_R
2024__09.02.2024__5Z__100MEDIA__DSCF0340_crop0.jpg,2024__09.02.2024__5R__100MEDIA__DSCF0201_crop0.jpg,23,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0340.JPG,/srv/shared_leopard_toad/2024/09.02.2024/5R/100MEDIA/DSCF0201.JPG
2024__09.02.2024__5Z__100MEDIA__DSCF0340_crop0.jpg,2024__09.02.2024__5R__100MEDIA__DSCF0208_crop0.jpg,22,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0340.JPG,/srv/shared_leopard_toad/2024/09.02.2024/5R/100MEDIA/DSCF0208.JPG
2024__09.02.2024__5Z__100MEDIA__DSCF0340_crop0.jpg,2024__11.10.2024__6R__110MEDIA__DSCF0899_crop0.jpg,21,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0340.JPG,/srv/shared_leopard_toad/2024/11.10.2024/6R/110MEDIA/DSCF0899.JPG
2025__Documents__22.09-29.09.2025__5Z__107MEDIA__DSCF0361_crop0.jpg,2025__Documents__21-28.08.2025__5R__100MEDIA__DSCF0450_crop0.jpg,21,2025,/srv/shared_leopard_toad/2025/Documents/22.09-29.09.2025/5Z/107MEDIA/DSCF0361.JPG,/srv/shared_leopard_toad/2025/Documents/21-28.08.2025/5R/100MEDIA/DSCF0450.JPG
2025__Documents__22.09-29.09.2025__5Z__107MEDIA__DSCF0395_crop0.jpg,2025__Documents__06.10-13.10.2025__6R__104MEDIA__DSCF0444_crop0.jpg,20,2025,/srv/shared_leopard_toad/2025/Documents/22.09-29.09.2025/5Z/107MEDIA/DSCF0395.JPG,/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/6R/104MEDIA/DSCF0444.JPG
2024__09.02.2024__5Z__100MEDIA__DSCF0339_crop0.jpg,2024__09.02.2024__5R__100MEDIA__DSCF0212_crop0.jpg,19,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0339.JPG,/srv/shared_leopard_toad/2024/09.02.2024/5R/100MEDIA/DSCF0212.JPG
2024__09.02.2024__5Z__100MEDIA__DSCF0340_crop0.jpg,2024__02.09.2024__6R__incomplete__100MEDIA__DSCF0953_crop0.jpg,19,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0340.JPG,/srv/shared_leopard_toad/2024/02.09.2024/6R/incomplete/100MEDIA/DSCF0953.JPG
2024__09.02.2024__5Z__100MEDIA__DSCF0340_crop0.jpg,2024__09.02.2024__5R__100MEDIA__DSCF0212_crop0.jpg,18,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0340.JPG,/srv/shared_leopard_toad/2024/09.02.2024/5R/100MEDIA/DSCF0212.JPG
2024__09.02.2024__5Z__100MEDIA__DSCF0340_crop0.jpg,2024__11.10.2024__6R__104MEDIA__DSCF0511_crop0.jpg,18,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0340.JPG,/srv/shared_leopard_toad/2024/11.10.2024/6R/104MEDIA/DSCF0511.JPG
2025__Documents__22.09-29.09.2025__5Z__107MEDIA__DSCF0361_crop0.jpg,2025__Documents__12.19.08.2025__5R__105MEDIA__DSCF0959_crop0.jpg,18,2025,/srv/shared_leopard_toad/2025/Documents/22.09-29.09.2025/5Z/107MEDIA/DSCF0361.JPG,/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/5R/105MEDIA/DSCF0959.JPG
2025__Documents__12.19.08.2025__4Z__108MEDIA__DSCF0724_crop0.jpg,2025__Documents__12.19.08.2025__4R__108MEDIA__DSCF0718_crop0.jpg,18,2025,/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/4Z/108MEDIA/DSCF0724.JPG,/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/4R/108MEDIA/DSCF0718.JPG
2024__09.02.2024__5Z__100MEDIA__DSCF0340_crop0.jpg,2024__18.11.2024__6R__100MEDIA__DSCF0953_crop0.jpg,17,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0340.JPG,/srv/shared_leopard_toad/2024/18.11.2024/6R/100MEDIA/DSCF0953.JPG
2024__09.02.2024__5Z__100MEDIA__DSCF0340_crop0.jpg,2024__28.08.2024__5R__100MEDIA__DSCF0546_crop1.jpg,16,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0340.JPG,/srv/shared_leopard_toad/2024/28.08.2024/5R/100MEDIA/DSCF0546.JPG
2024__09.02.2024__5Z__100MEDIA__DSCF0339_crop0.jpg,2024__09.02.2024__5R__100MEDIA__DSCF0201_crop0.jpg,15,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0339.JPG,/srv/shared_leopard_toad/2024/09.02.2024/5R/100MEDIA/DSCF0201.JPG
2024__09.02.2024__5Z__100MEDIA__DSCF0340_crop0.jpg,2024__28.08.2024__6R__105MEDIA__DSCF0661_crop0.jpg,15,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0340.JPG,/srv/shared_leopard_toad/2024/28.08.2024/6R/105MEDIA/DSCF0661.JPG
2025__Documents__22.09-29.09.2025__5Z__107MEDIA__DSCF0367_crop0.jpg,2025__Documents__06.10-13.10.2025__6R__104MEDIA__DSCF0444_crop0.jpg,15,2025,/srv/shared_leopard_toad/2025/Documents/22.09-29.09.2025/5Z/107MEDIA/DSCF0367.JPG,/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/6R/104MEDIA/DSCF0444.JPG
